"zip","population","city","county"
"45102",23767,"Amelia","Clermont"
"45805",23726,"Lima","Allen"
"44137",23636,"Maple Heights","Cuyahoga"
"44857",23446,"Norwalk","Huron"
"45133",23369,"Hillsboro","Highland"
"45241",23270,"Cincinnati","Hamilton"
"45247",23246,"Cincinnati","Hamilton"
"44138",23090,"Olmsted Falls","Cuyahoga"
"43231",23066,"Columbus","Franklin"
"44406",22579,"Canfield","Mahoning"
"43211",22553,"Columbus","Franklin"
"45440",22507,"Dayton","Montgomery"
"43206",22488,"Columbus","Franklin"
"45331",22354,"Greenville","Darke"
"44144",22281,"Cleveland","Cuyahoga"
"44087",22195,"Twinsburg","Summit"
"44514",22193,"Youngstown","Mahoning"
"45371",22175,"Tipp City","Miami"
"43212",22160,"Columbus","Franklin"
"44319",22146,"Akron","Summit"
"45177",22011,"Wilmington","Clinton"
"44484",21999,"Warren","Trumbull"
"45242",21992,"Cincinnati","Hamilton"
"43160",21933,"Washington Court House","Fayette"
"44202",21857,"Aurora","Portage"
"45801",21788,"Lima","Allen"
"45255",21752,"Cincinnati","Hamilton"
"44108",21711,"Cleveland","Cuyahoga"
"43920",21686,"East Liverpool","Columbiana"
"45237",21669,"Cincinnati","Hamilton"
"44306",21606,"Akron","Summit"
"44116",21549,"Rocky River","Cuyahoga"
"45224",21504,"Cincinnati","Hamilton"
"45322",21494,"Englewood","Montgomery"
"45212",21424,"Cincinnati","Hamilton"
"44001",21143,"Amherst","Lorain"
"45030",21129,"Harrison","Hamilton"
"45638",21081,"Ironton","Lawrence"
"44149",21046,"Strongsville","Cuyahoga"
"44305",21024,"Akron","Summit"
"45251",20940,"Cincinnati","Hamilton"
"45245",20880,"Cincinnati","Clermont"
"43607",20732,"Toledo","Lucas"
"44131",20650,"Independence","Cuyahoga"
"44053",20588,"Lorain","Lorain"
"43078",20509,"Urbana","Champaign"
"45505",20464,"Springfield","Clark"
"45414",20392,"Dayton","Montgomery"
"43616",20366,"Oregon","Lucas"
"43609",20327,"Toledo","Lucas"
"44446",20241,"Niles","Trumbull"
"43202",20226,"Columbus","Franklin"
"43725",20072,"Cambridge","Guernsey"
"44654",20044,"Millersburg","Holmes"
"44067",20037,"Northfield","Summit"
"43311",19944,"Bellefontaine","Logan"
"45406",19830,"Dayton","Montgomery"
"44147",19820,"Broadview Heights","Cuyahoga"
"43623",19749,"Toledo","Lucas"
"44641",19737,"Louisville","Stark"
"44055",19513,"Lorain","Lorain"
"45219",19436,"Cincinnati","Hamilton"
"44057",19384,"Madison","Lake"
"44511",19380,"Youngstown","Mahoning"
"45405",19363,"Dayton","Montgomery"
"45822",19290,"Celina","Mercer"
"44113",19165,"Cleveland","Cuyahoga"
"44320",19104,"Akron","Summit"
"44333",19031,"Akron","Summit"
"43138",19017,"Logan","Hocking"
"44705",18985,"Canton","Stark"
"45449",18946,"Dayton","Montgomery"
"44112",18945,"Cleveland","Cuyahoga"
"45227",18874,"Cincinnati","Hamilton"
"44023",18842,"Chagrin Falls","Geauga"
"44104",18830,"Cleveland","Cuyahoga"
"44709",18778,"Canton","Stark"
"44017",18724,"Berea","Cuyahoga"
"44622",18705,"Dover","Tuscarawas"
"43611",18635,"Toledo","Lucas"
"44142",18592,"Brookpark","Cuyahoga"
"44278",18577,"Tallmadge","Summit"
"43812",18495,"Coshocton","Coshocton"
"44110",18449,"Cleveland","Cuyahoga"
"44123",18445,"Euclid","Cuyahoga"
"44314",18391,"Akron","Summit"
"45208",18317,"Cincinnati","Hamilton"
"45205",18314,"Cincinnati","Hamilton"
"44223",18240,"Cuyahoga Falls","Summit"
"44647",18209,"Massillon","Stark"
"44830",17974,"Fostoria","Seneca"
"43056",17893,"Heath","Licking"
"45895",17816,"Wapakoneta","Auglaize"
"44241",17549,"Streetsboro","Portage"
"43952",17428,"Steubenville","Jefferson"
"44820",17239,"Bucyrus","Crawford"
"45502",17179,"Springfield","Clark"
"44126",17133,"Cleveland","Cuyahoga"
"44092",16934,"Wickliffe","Lake"
"43064",16900,"Plain City","Madison"
"44410",16861,"Cortland","Trumbull"
"44505",16835,"Youngstown","Mahoning"
"44905",16693,"Mansfield","Richland"
"44022",16675,"Chagrin Falls","Cuyahoga"
"43528",16660,"Holland","Lucas"
"45344",16606,"New Carlisle","Clark"
"44833",16537,"Galion","Crawford"
"43950",16532,"Saint Clairsville","Belmont"
"44906",16461,"Mansfield","Richland"
"45410",16442,"Dayton","Montgomery"
"45504",16397,"Springfield","Clark"
"44706",16315,"Canton","Stark"
"45243",16278,"Cincinnati","Hamilton"
"45419",16262,"Dayton","Montgomery"
"45409",16224,"Dayton","Montgomery"
"44030",16159,"Conneaut","Ashtabula"
"44321",16102,"Akron","Summit"
"44140",16051,"Bay Village","Cuyahoga"
"44062",15858,"Middlefield","Geauga"
"45640",15732,"Jackson","Jackson"
"44485",15625,"Warren","Trumbull"
"44907",15615,"Mansfield","Richland"
"44089",15597,"Vermilion","Erie"
"45320",15508,"Eaton","Preble"
"45891",15330,"Van Wert","Van Wert"
"43215",15317,"Columbus","Franklin"
"45202",15293,"Cincinnati","Hamilton"
"44420",15217,"Girard","Trumbull"
"43074",15057,"Sunbury","Delaware"
"44044",15053,"Grafton","Lorain"
"45233",15024,"Cincinnati","Hamilton"
"45804",14962,"Lima","Allen"
"45067",14879,"Trenton","Butler"
"44103",14797,"Cleveland","Cuyahoga"
"45432",14786,"Dayton","Montgomery"
"43608",14702,"Toledo","Lucas"
"44132",14678,"Euclid","Cuyahoga"
"43506",14620,"Bryan","Williams"
"45377",14614,"Vandalia","Montgomery"
"43023",14574,"Granville","Licking"
"43545",14573,"Napoleon","Henry"
"44904",14389,"Mansfield","Richland"
"45220",14375,"Cincinnati","Hamilton"
"45249",14131,"Cincinnati","Hamilton"
"43452",14011,"Port Clinton","Ottawa"
"44041",14002,"Geneva","Ashtabula"
"45229",13997,"Cincinnati","Hamilton"
"45426",13933,"Dayton","Montgomery"
"45690",13873,"Waverly","Pike"
"44301",13852,"Akron","Summit"
"44141",13836,"Brecksville","Cuyahoga"
"44875",13815,"Shelby","Richland"
"43125",13756,"Groveport","Franklin"
"45152",13689,"Morrow","Warren"
"44667",13643,"Orrville","Wayne"
"45002",13627,"Cleves","Hamilton"
"45506",13624,"Springfield","Clark"
"43031",13549,"Johnstown","Licking"
"44721",13543,"Canton","Stark"
"45246",13530,"Cincinnati","Hamilton"
"45403",13523,"Dayton","Montgomery"
"43558",13392,"Swanton","Fulton"
"44425",13331,"Hubbard","Trumbull"
"45631",13288,"Gallipolis","Gallia"
"44614",13243,"Canal Fulton","Stark"
"43021",13239,"Galena","Delaware"
"44260",13181,"Mogadore","Summit"
"43567",13147,"Wauseon","Fulton"
"45415",13119,"Dayton","Montgomery"
"43210",12962,"Columbus","Franklin"
"43146",12940,"Orient","Pickaway"
"43326",12927,"Kenton","Hardin"
"44119",12921,"Cleveland","Cuyahoga"
"44811",12874,"Bellevue","Huron"
"45885",12791,"Saint Marys","Auglaize"
"44718",12720,"Canton","Stark"
"44432",12655,"Lisbon","Columbiana"
"44054",12642,"Sheffield Lake","Lorain"
"45694",12593,"Wheelersburg","Scioto"
"44839",12576,"Huron","Erie"
"45680",12458,"South Point","Lawrence"
"45434",12371,"Dayton","Montgomery"
"43205",12343,"Columbus","Franklin"
"45223",12237,"Cincinnati","Hamilton"
"45439",12235,"Dayton","Montgomery"
"44056",12083,"Macedonia","Summit"
"45050",12042,"Monroe","Butler"
"43103",11963,"Ashville","Pickaway"
"43953",11928,"Steubenville","Jefferson"
"45015",11838,"Hamilton","Butler"
"45213",11795,"Cincinnati","Hamilton"
"45807",11761,"Lima","Allen"
"45309",11680,"Brookville","Montgomery"
"44074",11648,"Oberlin","Lorain"
"45068",11624,"Waynesville","Warren"
"45122",11514,"Goshen","Clermont"
"45648",11507,"Lucasville","Scioto"
"45106",11492,"Bethel","Clermont"
"44509",11310,"Youngstown","Mahoning"
"45806",11265,"Lima","Auglaize"
"45875",11216,"Ottawa","Putnam"
"45305",11048,"Bellbrook","Greene"
"44090",10920,"Wellington","Lorain"
"44662",10867,"Navarre","Stark"
"45833",10816,"Delphos","Allen"
"44026",10772,"Chesterland","Geauga"
"43351",10748,"Upper Sandusky","Wyandot"
"45404",10715,"Dayton","Montgomery"
"45209",10692,"Cincinnati","Hamilton"
"44890",10679,"Willard","Huron"
"44408",10631,"Columbiana","Columbiana"
"44632",10548,"Hartville","Stark"
"44471",10492,"Struthers","Mahoning"
"45402",10447,"Dayton","Montgomery"
"45157",10320,"New Richmond","Clermont"
"45176",10250,"Williamsburg","Clermont"
"45206",10231,"Cincinnati","Hamilton"
"43338",10163,"Mount Gilead","Morrow"
"44117",9970,"Euclid","Cuyahoga"
"44714",9912,"Canton","Stark"
"45225",9899,"Cincinnati","Hamilton"
"43604",9811,"Toledo","Lucas"
"43410",9805,"Clyde","Sandusky"
"44615",9785,"Carrollton","Carroll"
"45669",9763,"Proctorville","Lawrence"
"44657",9732,"Minerva","Stark"
"44481",9657,"Warren","Trumbull"
"43019",9656,"Fredericktown","Knox"
"44444",9595,"Newton Falls","Trumbull"
"45214",9536,"Cincinnati","Hamilton"
"45107",9497,"Blanchester","Clinton"
"43964",9411,"Toronto","Jefferson"
"44028",9316,"Columbia Station","Lorain"
"44707",9290,"Canton","Stark"
"45216",9209,"Cincinnati","Hamilton"
"43724",9188,"Caldwell","Noble"
"44216",9148,"Clinton","Summit"
"44502",9147,"Youngstown","Mahoning"
"43203",9144,"Columbus","Franklin"
"45714",9127,"Belpre","Washington"
"44681",9081,"Sugarcreek","Tuscarawas"
"45327",9000,"Germantown","Montgomery"
"45121",8997,"Georgetown","Brown"
"44115",8960,"Cleveland","Cuyahoga"
"45693",8911,"West Union","Adams"
"44231",8890,"Garrettsville","Portage"
"44047",8751,"Jefferson","Ashtabula"
"43105",8731,"Baltimore","Fairfield"
"45154",8710,"Mount Orab","Brown"
"45123",8702,"Greenfield","Highland"
"44606",8684,"Apple Creek","Wayne"
"43617",8525,"Toledo","Lucas"
"44710",8424,"Canton","Stark"
"43076",8401,"Thornville","Perry"
"45692",8367,"Wellston","Jackson"
"43449",8330,"Oak Harbor","Ottawa"
"44230",8186,"Doylestown","Wayne"
"43935",8178,"Martins Ferry","Belmont"
"44270",8153,"Rittman","Wayne"
"43566",8128,"Waterville","Lucas"
"43906",8121,"Bellaire","Belmont"
"45232",8080,"Cincinnati","Hamilton"
"44233",8011,"Hinckley","Medina"
"44287",7980,"West Salem","Wayne"
"44703",7961,"Canton","Stark"
"45764",7917,"Nelsonville","Athens"
"44683",7903,"Uhrichsville","Tuscarawas"
"44405",7846,"Campbell","Mahoning"
"43028",7828,"Howard","Knox"
"43764",7808,"New Lexington","Perry"
"44813",7806,"Bellville","Richland"
"45810",7714,"Ada","Hardin"
"44255",7697,"Mantua","Portage"
"43515",7641,"Delta","Fulton"
"45660",7611,"Peebles","Adams"
"43832",7535,"Newcomerstown","Tuscarawas"
"43543",7465,"Montpelier","Williams"
"44303",7434,"Akron","Summit"
"45619",7364,"Chesapeake","Lawrence"
"45207",7363,"Cincinnati","Hamilton"
"45304",7315,"Arcanum","Darke"
"44273",7217,"Seville","Medina"
"44311",7200,"Akron","Summit"
"43011",7200,"Centerburg","Knox"
"44889",7173,"Wakeman","Huron"
"44081",7118,"Perry","Lake"
"43571",7109,"Whitehouse","Lucas"
"44627",7105,"Fredericksburg","Wayne"
"43619",7104,"Northwood","Wood"
"44618",7077,"Dalton","Wayne"
"45661",7042,"Piketon","Pike"
"44413",7024,"East Palestine","Columbiana"
"44114",7004,"Cleveland","Cuyahoga"
"44827",7003,"Crestline","Crawford"
"45335",6996,"Jamestown","Greene"
"43315",6974,"Cardington","Morrow"
"45430",6910,"Dayton","Montgomery"
"44201",6867,"Atwater","Portage"
"44050",6867,"Lagrange","Lorain"
"45828",6866,"Coldwater","Mercer"
"43162",6842,"West Jefferson","Madison"
"43240",6772,"Columbus","Franklin"
"43502",6769,"Archbold","Fulton"
"45656",6729,"Oak Hill","Jackson"
"45204",6680,"Cincinnati","Hamilton"
"43713",6653,"Barnesville","Belmont"
"45345",6555,"New Lebanon","Montgomery"
"44286",6402,"Richfield","Summit"
"45065",6366,"South Lebanon","Warren"
"45663",6359,"West Portsmouth","Scioto"
"45311",6335,"Camden","Preble"
"43334",6329,"Marengo","Morrow"
"45383",6325,"West Milton","Miami"
"45217",6317,"Cincinnati","Hamilton"
"45314",6300,"Cedarville","Greene"
"45769",6276,"Pomeroy","Meigs"
"43316",6251,"Carey","Wyandot"
"43460",6243,"Rossford","Wood"
"45817",6236,"Bluffton","Allen"
"43830",6220,"Nashport","Muskingum"
"44730",6202,"Canton","Stark"
"43912",6175,"Bridgeport","Belmont"
"43968",6068,"Wellsville","Columbiana"
"45879",6054,"Paulding","Paulding"
"45697",6051,"Winchester","Adams"
"45226",5973,"Cincinnati","Hamilton"
"43344",5908,"Richwood","Union"
"44307",5883,"Akron","Summit"
"45380",5852,"Versailles","Darke"
"43938",5810,"Mingo Junction","Jefferson"
"44624",5795,"Dundee","Tuscarawas"
"44021",5706,"Burton","Geauga"
"45381",5692,"West Alexandria","Preble"
"45135",5668,"Leesburg","Highland"
"43465",5664,"Walbridge","Wood"
"43143",5616,"Mount Sterling","Madison"
"45865",5599,"Minster","Auglaize"
"43072",5579,"Saint Paris","Champaign"
"44272",5558,"Rootstown","Portage"
"44612",5516,"Bolivar","Tuscarawas"
"44676",5494,"Shreve","Wayne"
"44902",5458,"Mansfield","Richland"
"45628",5438,"Frankfort","Ross"
"43526",5412,"Hicksville","Defiance"
"45387",5399,"Yellow Springs","Greene"
"44243",5394,"Kent","Portage"
"43783",5340,"Somerset","Perry"
"45830",5332,"Columbus Grove","Putnam"
"45171",5324,"Sardinia","Brown"
"43620",5315,"Toledo","Lucas"
"45651",5304,"Mc Arthur","Vinton"
"44280",5301,"Valley City","Medina"
"43762",5296,"New Concord","Muskingum"
"45318",5254,"Covington","Miami"
"44842",5244,"Loudonville","Ashland"
"43777",5187,"Roseville","Muskingum"
"43756",5185,"Mc Connelsville","Morgan"
"43025",5160,"Hebron","Licking"
"45710",5142,"Albany","Athens"
"45323",5114,"Enon","Clark"
"45252",5111,"Cincinnati","Hamilton"
"43112",5092,"Carroll","Fairfield"
"43044",5087,"Mechanicsburg","Champaign"
"44076",5085,"Orwell","Ashtabula"
"43061",5085,"Ostrander","Delaware"
"45856",5075,"Leipsic","Putnam"
"43947",5072,"Shadyside","Belmont"
"44072",5059,"Novelty","Geauga"
"44504",5031,"Youngstown","Mahoning"
"43907",5028,"Cadiz","Harrison"
"43731",5011,"Crooksville","Perry"
"44438",5007,"Masury","Trumbull"
"44262",4999,"Munroe Falls","Summit"
"44851",4995,"New London","Huron"
"44430",4980,"Leavittsburg","Trumbull"
"43430",4948,"Genoa","Ottawa"
"44003",4926,"Andover","Ashtabula"
"45614",4897,"Bidwell","Gallia"
"45416",4873,"Dayton","Montgomery"
"44254",4867,"Lodi","Medina"
"43822",4862,"Frazeysburg","Muskingum"
"43845",4860,"West Lafayette","Coshocton"
"43431",4840,"Gibsonburg","Sandusky"
"44440",4821,"Mineral Ridge","Trumbull"
"44507",4804,"Youngstown","Mahoning"
"44644",4782,"Malvern","Carroll"
"43403",4775,"Bowling Green","Wood"
"43080",4765,"Utica","Licking"
"44672",4750,"Sebring","Mahoning"
"45338",4741,"Lewisburg","Preble"
"44431",4659,"Leetonia","Columbiana"
"45308",4629,"Bradford","Miami"
"45644",4617,"Kingston","Ross"
"43723",4606,"Byesville","Guernsey"
"45302",4601,"Anna","Shelby"
"44127",4573,"Cleveland","Cuyahoga"
"43610",4505,"Toledo","Lucas"
"44621",4487,"Dennison","Tuscarawas"
"43793",4474,"Woodsfield","Monroe"
"45869",4461,"New Bremen","Auglaize"
"45846",4453,"Fort Recovery","Mercer"
"45169",4432,"Sabina","Clinton"
"43357",4422,"West Liberty","Logan"
"44680",4396,"Strasburg","Tuscarawas"
"44302",4379,"Akron","Summit"
"45612",4335,"Bainbridge","Ross"
"45872",4330,"North Baltimore","Wood"
"43844",4324,"Warsaw","Coshocton"
"45732",4309,"Glouster","Athens"
"43222",4303,"Columbus","Franklin"
