"zip","population","city","county"
"43469",2805,"Woodville","Sandusky"
"45786",2797,"Waterford","Washington"
"45780",2791,"The Plains","Athens"
"45659",2788,"Pedro","Lawrence"
"43758",2776,"Malta","Morgan"
"44626",2767,"East Sparta","Stark"
"45679",2763,"Seaman","Adams"
"44506",2762,"Youngstown","Mahoning"
"45658",2754,"Patriot","Gallia"
"45814",2753,"Arlington","Hancock"
"43003",2749,"Ashley","Delaware"
"43310",2734,"Belle Center","Logan"
"43942",2732,"Powhatan Point","Belmont"
"45767",2725,"New Matamoras","Washington"
"43718",2724,"Belmont","Belmont"
"43516",2696,"Deshler","Henry"
"43730",2696,"Corning","Perry"
"43739",2684,"Glenford","Perry"
"43060",2675,"North Lewisburg","Champaign"
"44429",2674,"Lake Milton","Mahoning"
"44843",2667,"Lucas","Richland"
"43149",2654,"Rockbridge","Hocking"
"45120",2639,"Felicity","Clermont"
"44867",2632,"Republic","Seneca"
"45860",2632,"Maria Stein","Mercer"
"44099",2618,"Windsor","Ashtabula"
"43116",2607,"Commercial Point","Pickaway"
"43719",2599,"Bethesda","Belmont"
"44666",2596,"North Lawrence","Stark"
"43001",2586,"Alexandria","Licking"
"45162",2562,"Pleasant Plain","Warren"
"45858",2540,"Mc Comb","Hancock"
"43358",2525,"West Mansfield","Logan"
"45325",2521,"Farmersville","Montgomery"
"44882",2514,"Sycamore","Wyandot"
"44656",2508,"Mineral City","Tuscarawas"
"43324",2503,"Huntsville","Logan"
"44412",2497,"Diamond","Portage"
"44401",2459,"Berlin Center","Mahoning"
"43466",2455,"Wayne","Wood"
"44423",2455,"Hanoverton","Columbiana"
"44836",2435,"Green Springs","Seneca"
"45715",2433,"Beverly","Washington"
"43008",2428,"Buckeye Lake","Licking"
"44611",2425,"Big Prairie","Holmes"
"44859",2418,"Nova","Ashland"
"44633",2406,"Holmesville","Holmes"
"44677",2391,"Smithville","Wayne"
"45724",2382,"Cutler","Washington"
"44608",2367,"Beach City","Stark"
"43150",2367,"Rushville","Fairfield"
"44215",2363,"Chippewa Lake","Medina"
"45384",2348,"Wilberforce","Greene"
"45744",2338,"Lowell","Washington"
"43527",2338,"Holgate","Henry"
"44048",2332,"Kingsville","Ashtabula"
"44214",2325,"Burbank","Wayne"
"43155",2322,"Sugar Grove","Fairfield"
"43944",2317,"Richmond","Jefferson"
"45877",2305,"Pandora","Putnam"
"44849",2303,"Nevada","Wyandot"
"45306",2303,"Botkins","Shelby"
"45874",2302,"Ohio City","Van Wert"
"43973",2295,"Freeport","Harrison"
"44086",2286,"Thompson","Geauga"
"43988",2277,"Scio","Harrison"
"44411",2266,"Deerfield","Portage"
"44637",2255,"Killbuck","Holmes"
"43136",2255,"Lithopolis","Fairfield"
"44818",2254,"Bloomville","Seneca"
"43137",2233,"Lockbourne","Pickaway"
"44046",2231,"Huntsburg","Geauga"
"44814",2224,"Berlin Heights","Erie"
"43164",2222,"Williamsport","Pickaway"
"43340",2210,"Mount Victory","Hardin"
"45303",2209,"Ansonia","Darke"
"43071",2205,"Saint Louisville","Licking"
"44866",2192,"Polk","Ashland"
"45346",2192,"New Madison","Darke"
"43128",2177,"Jeffersonville","Fayette"
"44510",2173,"Youngstown","Mahoning"
"43217",2172,"Columbus","Franklin"
"44443",2159,"New Springfield","Mahoning"
"43771",2157,"Philo","Muskingum"
"44450",2081,"North Bloomfield","Trumbull"
"43977",2062,"Flushing","Belmont"
"45334",2048,"Jackson Center","Shelby"
"43903",2034,"Amsterdam","Jefferson"
"43946",2025,"Sardis","Monroe"
"45174",2023,"Terrace Park","Hamilton"
"43348",2019,"Russells Point","Logan"
"43554",2018,"Pioneer","Williams"
"43145",2017,"New Holland","Pickaway"
"43933",2013,"Jacobsburg","Belmont"
"43009",2008,"Cable","Champaign"
"45827",2002,"Cloverdale","Putnam"
"44441",1990,"Negley","Columbiana"
"45682",1977,"South Webster","Scioto"
"43464",1935,"Vickery","Sandusky"
"43780",1934,"Senecaville","Guernsey"
"45873",1933,"Oakwood","Paulding"
"45775",1925,"Rutland","Meigs"
"45871",1916,"New Knoxville","Auglaize"
"43901",1915,"Adena","Jefferson"
"43734",1912,"Duncan Falls","Muskingum"
"45729",1909,"Fleming","Washington"
"45359",1903,"Pleasant Hill","Miami"
"45896",1901,"Waynesfield","Auglaize"
"43045",1899,"Milford Center","Union"
"44675",1898,"Sherrodsville","Carroll"
"45101",1893,"Aberdeen","Brown"
"45153",1893,"Moscow","Clermont"
"44620",1889,"Dellroy","Carroll"
"43115",1883,"Clarksburg","Ross"
"45812",1876,"Alger","Hardin"
"44082",1874,"Pierpont","Ashtabula"
"44807",1874,"Attica","Seneca"
"45337",1874,"Laura","Miami"
"45634",1873,"Hamden","Vinton"
"43148",1870,"Pleasantville","Fairfield"
"43986",1870,"Jewett","Harrison"
"43360",1861,"Zanesfield","Logan"
"44276",1861,"Sterling","Wayne"
"43443",1858,"Luckey","Wood"
"43837",1854,"Port Washington","Tuscarawas"
"44613",1850,"Brewster","Stark"
"45433",1835,"Dayton","Greene"
"44634",1829,"Homeworth","Columbiana"
"45684",1823,"Stout","Scioto"
"43772",1796,"Pleasant City","Guernsey"
"43749",1787,"Kimbolton","Guernsey"
"43106",1770,"Bloomingburg","Fayette"
"45148",1753,"Midland","Clinton"
"44404",1737,"Burghill","Trumbull"
"45616",1734,"Blue Creek","Adams"
"44308",1723,"Akron","Summit"
"43556",1712,"Sherwood","Defiance"
"43406",1710,"Bradner","Wood"
"45333",1701,"Houston","Shelby"
"43534",1694,"Mc Clure","Henry"
"43755",1687,"Lore City","Guernsey"
"45363",1680,"Russia","Shelby"
"44010",1671,"Austinburg","Ashtabula"
"44669",1666,"Paris","Stark"
"43716",1665,"Beallsville","Monroe"
"45685",1629,"Thurman","Gallia"
"44804",1605,"Arcadia","Hancock"
"45768",1597,"Newport","Washington"
"44455",1583,"Rogers","Columbiana"
"45853",1577,"Kalida","Putnam"
"45681",1575,"South Salem","Ross"
"45889",1573,"Van Buren","Hancock"
"43976",1560,"Hopedale","Harrison"
"45881",1556,"Rawson","Hancock"
"43013",1547,"Croton","Licking"
"44235",1539,"Homerville","Medina"
"44817",1524,"Bloomdale","Wood"
"45657",1496,"Otway","Scioto"
"44449",1495,"North Benton","Mahoning"
"45862",1489,"Mendon","Mercer"
"43760",1485,"Mount Perry","Perry"
"43332",1482,"La Rue","Marion"
"44855",1475,"North Fairfield","Huron"
"44853",1458,"New Riegel","Seneca"
"44064",1447,"Montville","Geauga"
"44854",1445,"New Washington","Crawford"
"43802",1445,"Adamsville","Muskingum"
"45735",1444,"Guysville","Athens"
"45772",1435,"Reedsville","Meigs"
"43747",1434,"Jerusalem","Monroe"
"44826",1432,"Collins","Huron"
"44417",1426,"Farmdale","Trumbull"
"43540",1423,"Metamora","Fulton"
"43732",1421,"Cumberland","Guernsey"
"43533",1418,"Lyons","Fulton"
"43457",1418,"Risingsun","Wood"
"45836",1417,"Dunkirk","Hardin"
"44625",1405,"East Rochester","Columbiana"
"43754",1386,"Lewisville","Monroe"
"43347",1381,"Rushsylvania","Logan"
"45745",1370,"Lower Salem","Washington"
"43549",1368,"Ney","Defiance"
"44682",1354,"Tuscarawas","Tuscarawas"
"44250",1345,"Lakemore","Summit"
"43963",1339,"Tiltonsville","Jefferson"
"45699",1337,"Lucasville","Scioto"
"43728",1330,"Chesterhill","Morgan"
"45761",1325,"Millfield","Athens"
"43727",1323,"Chandlersville","Muskingum"
"44695",1323,"Bowerston","Harrison"
"45326",1316,"Fletcher","Miami"
"45168",1295,"Russellville","Brown"
"43778",1285,"Salesville","Guernsey"
"44032",1284,"Dorset","Ashtabula"
"45146",1279,"Martinsville","Clinton"
"43320",1258,"Edison","Morrow"
"45672",1252,"Ray","Vinton"
"45863",1236,"Middle Point","Van Wert"
"43840",1235,"Stone Creek","Tuscarawas"
"43451",1223,"Portage","Wood"
"45743",1218,"Long Bottom","Meigs"
"45362",1216,"Rossburg","Darke"
"44427",1211,"Kensington","Columbiana"
"44325",1202,"Akron","Summit"
"43067",1199,"Raymond","Union"
"43913",1192,"Brilliant","Jefferson"
"45339",1189,"Ludlow Falls","Miami"
"45766",1189,"New Marshfield","Athens"
"43343",1173,"Quincy","Logan"
"43766",1171,"New Straitsville","Perry"
"43915",1170,"Clarington","Monroe"
"43432",1164,"Graytown","Ottawa"
"44638",1149,"Lakeville","Holmes"
"45321",1139,"Eldorado","Preble"
"44418",1136,"Fowler","Trumbull"
"43524",1126,"Hamler","Henry"
"45382",1124,"West Manchester","Preble"
"43908",1120,"Bergholz","Jefferson"
"43525",1105,"Haskins","Wood"
"43930",1102,"Hammondsville","Jefferson"
"43720",1096,"Blue Rock","Muskingum"
"43511",1083,"Custar","Wood"
"45317",1080,"Conover","Miami"
"44503",1072,"Youngstown","Mahoning"
"43435",1069,"Helena","Sandusky"
"45312",1068,"Casstown","Miami"
"45034",1059,"Kings Mills","Warren"
"45678",1051,"Scottown","Lawrence"
"43504",1050,"Berkey","Lucas"
"43445",1048,"Martin","Ottawa"
"45711",1040,"Amesville","Athens"
"44887",1036,"Tiro","Crawford"
"43066",1033,"Radnor","Delaware"
"45867",1031,"Mount Blanchard","Hancock"
"44628",1028,"Glenmont","Holmes"
"44651",1025,"Mechanicstown","Carroll"
"43462",1012,"Rudolph","Wood"
"43767",1010,"Norwich","Muskingum"
"43319",1010,"East Liberty","Logan"
"43153",1006,"South Solon","Madison"
"43971",1003,"Yorkville","Jefferson"
"43356",1003,"Waldo","Marion"
"45788",1003,"Whipple","Washington"
"45849",991,"Grover Hill","Paulding"
"43413",982,"Cygnet","Wood"
"45876",980,"Ottoville","Putnam"
"44093",978,"Williamsfield","Ashtabula"
"44702",975,"Canton","Stark"
"43345",970,"Ridgeway","Hardin"
"45674",956,"Rio Grande","Gallia"
"44802",952,"Alvada","Seneca"
"43341",946,"New Bloomington","Marion"
"45778",936,"Stewart","Athens"
"45841",936,"Jenera","Hancock"
"43501",932,"Alvordton","Williams"
"43932",927,"Irondale","Jefferson"
"44251",924,"Westfield Center","Medina"
"45770",912,"Portland","Meigs"
"45890",907,"Vanlue","Hancock"
"45868",904,"Mount Cory","Hancock"
"44490",898,"Washingtonville","Columbiana"
"45776",896,"Shade","Athens"
"45654",884,"New Plymouth","Vinton"
"43442",881,"Lindsey","Sandusky"
"43333",872,"Lewistown","Logan"
"45001",869,"Addyston","Hamilton"
"45330",859,"Gratis","Preble"
"43843",842,"Walhonding","Coshocton"
"43337",836,"Morral","Marion"
"45158",827,"Newtonsville","Clermont"
"45348",818,"New Weston","Darke"
"43084",813,"Woodstock","Champaign"
"45727",781,"Dexter City","Noble"
"45695",765,"Wilkesville","Vinton"
"45894",762,"Venedocia","Van Wert"
"45779",760,"Syracuse","Meigs"
"45898",755,"Willshire","Van Wert"
"45388",755,"Yorkshire","Darke"
"43548",753,"New Bavaria","Henry"
"45821",746,"Cecil","Paulding"
"45719",744,"Chauncey","Athens"
"45696",741,"Willow Wood","Lawrence"
"43782",733,"Shawnee","Perry"
"45820",723,"Cairo","Allen"
"43788",720,"Summerfield","Noble"
"44653",719,"Midvale","Tuscarawas"
"43722",719,"Buffalo","Guernsey"
"45062",707,"Seven Mile","Butler"
"43468",702,"Williston","Ottawa"
"45620",694,"Cheshire","Gallia"
"43948",691,"Smithfield","Jefferson"
"44454",690,"Petersburg","Mahoning"
"44815",688,"Bettsville","Seneca"
"44045",680,"Grand River","Lake"
"44841",679,"Kansas","Seneca"
"45332",664,"Hollansburg","Darke"
"43359",663,"Wharton","Wyandot"
"43746",658,"Hopewell","Muskingum"
"45354",656,"Phillipsburg","Montgomery"
"45032",655,"Harveysburg","Warren"
"44101",647,"Cleveland","Cuyahoga"
"43323",646,"Harpster","Wyandot"
"44699",631,"Tippecanoe","Harrison"
"43157",626,"Thurston","Fairfield"
"45160",624,"Owensville","Clermont"
"45851",623,"Haviland","Paulding"
"43811",623,"Conesville","Coshocton"
"45646",599,"Latham","Pike"
"44844",595,"Mc Cutchenville","Wyandot"
"45816",593,"Benton Ridge","Hancock"
"43779",585,"Sarahsville","Noble"
"45886",566,"Scott","Van Wert"
"43152",563,"South Bloomingville","Hocking"
"45328",561,"Gettysburg","Darke"
"43535",557,"Malinta","Henry"
"43407",556,"Burgoon","Sandusky"
"44652",556,"Middlebranch","Stark"
"44689",521,"Wilmot","Stark"
"43547",510,"Neapolis","Lucas"
"45003",508,"College Corner","Butler"
"43033",503,"Kirkersville","Licking"
"43553",501,"Pettisville","Fulton"
"45389",499,"Christiansburg","Champaign"
"45378",497,"Verona","Preble"
"43456",495,"Put In Bay","Ottawa"
"45859",494,"Mc Guffey","Hardin"
"45155",489,"Mowrystown","Highland"
"43768",484,"Old Washington","Guernsey"
"43437",480,"Jerry City","Wood"
"44687",473,"Walnut Creek","Holmes"
"45835",473,"Dola","Hardin"
"43029",468,"Irwin","Union"
"43463",468,"Stony Ridge","Wood"
"45630",467,"Friendship","Scioto"
"43905",463,"Barton","Belmont"
"43005",463,"Bladensburg","Knox"
"45033",460,"Hooven","Hamilton"
"45698",460,"Zaleski","Vinton"
"45716",457,"Buchtel","Athens"
"45870",447,"New Hampshire","Auglaize"
"43002",441,"Amlin","Franklin"
"45360",438,"Port Jefferson","Shelby"
"45782",434,"Trimble","Athens"
"45861",427,"Melrose","Paulding"
"43144",425,"Murray City","Hocking"
"43565",422,"Tontogany","Wood"
"45650",421,"Lynx","Adams"
"43158",416,"Union Furnace","Hocking"
"45741",412,"Langsville","Meigs"
"44439",393,"Mesopotamia","Trumbull"
"45621",389,"Coalton","Jackson"
"45808",384,"Beaverdam","Allen"
"45854",382,"Lafayette","Allen"
"43126",376,"Harrisburg","Franklin"
"43408",376,"Clay Center","Ottawa"
"44661",373,"Nashville","Holmes"
"45051",372,"Mount Saint Joseph","Hamilton"
"43940",368,"Neffs","Belmont"
"43127",367,"Haydenville","Hocking"
"43006",351,"Brinkhaven","Knox"
"43322",349,"Green Camp","Marion"
"45671",348,"Rarden","Scioto"
"43321",346,"Fulton","Morrow"
"45351",346,"Osgood","Darke"
"43458",344,"Rocky Ridge","Ottawa"
"43036",341,"Magnetic Springs","Union"
"43531",339,"Kunkle","Williams"
"45673",337,"Richmond Dale","Ross"
"45111",336,"Camp Dennison","Hamilton"
"43101",335,"Adelphi","Ross"
"43529",330,"Hoytville","Wood"
"43519",328,"Evansport","Defiance"
"45340",326,"Maplewood","Shelby"
"45622",326,"Creola","Vinton"
"44274",325,"Sharon Center","Medina"
"45740",322,"Jacksonville","Athens"
"45734",320,"Graysville","Monroe"
"43983",316,"Piedmont","Belmont"
"45349",314,"North Hampton","Clark"
"45319",313,"Donnelsville","Clark"
"45688",308,"Waterloo","Lawrence"
"45131",307,"Higginsport","Brown"
"43721",305,"Brownsville","Licking"
"45164",302,"Port William","Clinton"
"45361",302,"Potsdam","Miami"
"44874",301,"Savannah","Ashland"
"45358",300,"Pitsburg","Darke"
"45372",299,"Tremont City","Clark"
"45307",299,"Bowersville","Greene"
"45826",297,"Chickasaw","Mercer"
"44639",297,"Leesville","Carroll"
"45172",294,"Sinking Spring","Highland"
"45469",293,"Dayton","Montgomery"
"43961",289,"Stratton","Jefferson"
"43438",289,"Kelleys Island","Erie"
"45888",289,"Uniopolis","Auglaize"
"45428",285,"Dayton","Montgomery"
"45301",276,"Alpha","Greene"
"43939",271,"Mount Pleasant","Jefferson"
"45819",271,"Buckland","Auglaize"
"45636",271,"Haverhill","Scioto"
"43077",265,"Unionville Center","Union"
"44610",264,"Berlin","Holmes"
"43555",262,"Ridgeville Corners","Henry"
"43805",259,"Blissfield","Coshocton"
"45746",259,"Macksburg","Washington"
"43350",242,"Sparta","Morrow"
"43981",241,"New Athens","Harrison"
"45115",241,"Decatur","Brown"
"45147",240,"Miamiville","Clermont"
"44697",240,"Zoar","Tuscarawas"
"43010",239,"Catawba","Clark"
"43985",238,"Holloway","Belmont"
"45783",236,"Tuppers Plains","Meigs"
"44825",233,"Chatfield","Crawford"
"43151",233,"Sedalia","Madison"
"43510",226,"Colton","Henry"
"43735",225,"East Fultonham","Muskingum"
"44678",225,"Somerdale","Tuscarawas"
"43902",223,"Alledonia","Belmont"
"43967",223,"Warnock","Belmont"
"43759",222,"Morristown","Belmont"
"43925",220,"East Springfield","Jefferson"
"44068",219,"North Kingsville","Ashtabula"
"45310",218,"Burkettsville","Mercer"
"45352",217,"Palestine","Darke"
"43740",216,"Gratiot","Licking"
"43030",215,"Jacksontown","Licking"
"43926",209,"Empire","Jefferson"
"44555",206,"Youngstown","Mahoning"
"45132",204,"Highland","Highland"
"43536",204,"Mark Center","Defiance"
"43037",204,"Martinsburg","Knox"
"44640",201,"Limaville","Stark"
"45893",201,"Vaughnsville","Putnam"
