zip code,population
45068,"11,624"
45122,"11,514"
45648,"11,507"
45106,"11,492"
44509,"11,310"
45806,"11,265"
45875,"11,216"
45305,"11,048"
44090,"10,920"
44662,"10,867"
45833,"10,816"
44026,"10,772"
43351,"10,748"
45404,"10,715"
45209,"10,692"
44890,"10,679"
44408,"10,631"
44632,"10,548"
44471,"10,492"
45402,"10,447"
45157,"10,320"
45176,"10,250"
45206,"10,231"
43338,"10,163"
44117,"9,970"
44714,"9,912"
45225,"9,899"
43604,"9,811"
43410,"9,805"
44615,"9,785"
45669,"9,763"
44657,"9,732"
44481,"9,657"
43019,"9,656"
44444,"9,595"
45214,"9,536"
45107,"9,497"
43964,"9,411"
44028,"9,316"
44707,"9,290"
45216,"9,209"
43724,"9,188"
44216,"9,148"
44502,"9,147"
43203,"9,144"
45714,"9,127"
44681,"9,081"
45327,"9,000"
45121,"8,997"
44115,"8,960"
45693,"8,911"
44231,"8,890"
44047,"8,751"
43105,"8,731"
45154,"8,710"
45123,"8,702"
44606,"8,684"
43617,"8,525"
44710,"8,424"
43076,"8,401"
45692,"8,367"
43449,"8,330"
44230,"8,186"
43935,"8,178"
44270,"8,153"
43566,"8,128"
43906,"8,121"
45232,"8,080"
44233,"8,011"
44287,"7,980"
44703,"7,961"
45764,"7,917"
44683,"7,903"
44405,"7,846"
43028,"7,828"
43764,"7,808"
44813,"7,806"
45810,"7,714"
44255,"7,697"
43515,"7,641"
45660,"7,611"
43832,"7,535"
43543,"7,465"
44303,"7,434"
45619,"7,364"
45207,"7,363"
45304,"7,315"
44273,"7,217"
43011,"7,200"
44311,"7,200"
44889,"7,173"
44081,"7,118"
43571,"7,109"
44627,"7,105"
43619,"7,104"
44618,"7,077"
45661,"7,042"
44413,"7,024"
44114,"7,004"
44827,"7,003"
45335,"6,996"
43315,"6,974"
45430,"6,910"
44201,"6,867"
44050,"6,867"
45828,"6,866"
43162,"6,842"
43240,"6,772"
43502,"6,769"
45656,"6,729"
45204,"6,680"
43713,"6,653"
45345,"6,555"
44286,"6,402"
45065,"6,366"
45663,"6,359"
45311,"6,335"
43334,"6,329"
45383,"6,325"
45217,"6,317"
45314,"6,300"
45769,"6,276"
43316,"6,251"
43460,"6,243"
45817,"6,236"
43830,"6,220"
44730,"6,202"
43912,"6,175"
43968,"6,068"
45879,"6,054"
45697,"6,051"
45226,"5,973"
43344,"5,908"
44307,"5,883"
45380,"5,852"
43938,"5,810"
44624,"5,795"
44021,"5,706"
45381,"5,692"
45135,"5,668"
43465,"5,664"
43143,"5,616"
45865,"5,599"
43072,"5,579"
44272,"5,558"
44612,"5,516"
44676,"5,494"
44902,"5,458"
45628,"5,438"
43526,"5,412"
45387,"5,399"
44243,"5,394"
43783,"5,340"
45830,"5,332"
45171,"5,324"
43620,"5,315"
45651,"5,304"
44280,"5,301"
43762,"5,296"
45318,"5,254"
44842,"5,244"
43777,"5,187"
43756,"5,185"
43025,"5,160"
45710,"5,142"
45323,"5,114"
45252,"5,111"
43112,"5,092"
43044,"5,087"
43061,"5,085"
44076,"5,085"
45856,"5,075"
43947,"5,072"
44072,"5,059"
44504,"5,031"
43907,"5,028"
43731,"5,011"
44438,"5,007"
44262,"4,999"
44851,"4,995"
44430,"4,980"
43430,"4,948"
44003,"4,926"
45614,"4,897"
45416,"4,873"
44254,"4,867"
43822,"4,862"
43845,"4,860"
43431,"4,840"
44440,"4,821"
44507,"4,804"
44644,"4,782"
43403,"4,775"
43080,"4,765"
44672,"4,750"
45338,"4,741"
44431,"4,659"
45308,"4,629"
45644,"4,617"
43723,"4,606"
45302,"4,601"
44127,"4,573"
43610,"4,505"
44621,"4,487"
43793,"4,474"
45869,"4,461"
45846,"4,453"
45169,"4,432"
43357,"4,422"
44680,"4,396"
44302,"4,379"
45612,"4,335"
45872,"4,330"
43844,"4,324"
45732,"4,309"
43222,"4,303"
43821,"4,300"
45887,"4,297"
43542,"4,293"
45368,"4,215"
45369,"4,206"
43824,"4,202"
43440,"4,193"
43331,"4,147"
44837,"4,132"
45315,"4,121"
45052,"4,111"
44470,"4,107"
44473,"4,102"
45130,"4,083"
44437,"4,068"
45347,"4,047"
44065,"4,020"
44084,"3,993"
43022,"3,979"
44442,"3,977"
45142,"3,943"
43135,"3,922"
45113,"3,916"
44643,"3,913"
45218,"3,913"
43318,"3,887"
45883,"3,882"
43154,"3,878"
45118,"3,865"
43102,"3,861"
44234,"3,834"
43804,"3,833"
43412,"3,810"
45159,"3,765"
44403,"3,756"
43517,"3,748"
45341,"3,736"
45843,"3,733"
45144,"3,732"
45760,"3,730"
45053,"3,707"
45831,"3,706"
45686,"3,704"
44824,"3,682"
43014,"3,668"
44847,"3,663"
45850,"3,652"
45723,"3,631"
44436,"3,615"
44304,"3,577"
43450,"3,572"
45771,"3,562"
44217,"3,548"
